ph,chlorine,hardness,nitrate,label
4.8,0.07,268.0,77.09,Unsafe
10.04,0.0,442.0,57.95,Unsafe
6.48,1.29,134.3,17.77,Caution
7.32,0.89,66.7,5.39,Safe
9.27,3.39,448.6,34.36,Unsafe
6.63,2.1,229.1,24.75,Caution
5.51,0.01,382.3,61.82,Unsafe
5.58,0.0,373.8,41.91,Unsafe
6.23,0.78,48.7,7.41,Caution
6.97,0.39,68.2,7.23,Safe
7.39,0.73,156.1,5.0,Safe
7.0,1.06,83.6,0.0,Safe
6.62,1.14,56.6,6.11,Safe
6.83,2.84,292.6,26.77,Caution
7.11,0.36,38.3,3.25,Safe
7.16,0.87,83.4,5.76,Safe
7.65,0.8,67.9,4.47,Safe
7.45,1.25,70.0,5.66,Safe
7.64,1.0,276.2,14.16,Caution
9.08,3.66,313.4,27.05,Unsafe
7.49,1.4,142.2,6.08,Safe
7.22,0.17,111.5,7.26,Safe
6.85,1.43,66.9,6.5,Safe
5.2,0.07,309.2,65.67,Unsafe
7.03,0.7,114.3,5.77,Safe
6.53,0.45,53.9,4.81,Safe
6.98,2.01,206.4,5.85,Caution
6.15,1.35,387.9,56.6,Unsafe
9.86,0.07,543.9,57.12,Unsafe
8.12,1.37,115.1,4.74,Safe
9.24,0.15,472.6,41.38,Unsafe
6.79,0.86,226.7,18.11,Caution
6.96,1.41,117.0,3.83,Safe
6.75,0.0,122.8,3.64,Safe
9.72,0.02,438.3,94.36,Unsafe
8.3,0.06,531.2,53.7,Unsafe
9.21,7.39,456.6,48.09,Unsafe
6.74,0.87,91.1,3.95,Safe
7.19,0.61,87.9,2.7,Safe
5.78,0.57,220.6,17.92,Unsafe
8.67,5.8,304.3,60.48,Unsafe
7.16,0.9,120.3,4.7,Safe
7.14,0.63,140.1,5.85,Safe
6.84,0.73,47.6,1.16,Safe
6.95,0.1,109.4,24.55,Caution
5.15,0.01,436.2,37.97,Unsafe
6.36,1.45,330.5,9.36,Caution
7.25,1.23,108.3,28.92,Safe
7.12,1.25,65.8,0.54,Safe
7.15,1.73,285.7,14.69,Caution
9.07,4.8,404.4,49.2,Unsafe
9.44,5.62,491.1,57.98,Unsafe
8.47,3.3,360.6,33.28,Unsafe
5.08,0.13,488.1,59.62,Unsafe
7.41,1.46,135.4,26.55,Safe
6.47,0.83,247.6,31.89,Caution
7.66,1.03,118.0,2.18,Safe
6.71,2.82,250.5,23.95,Caution
9.55,0.05,475.9,86.6,Unsafe
7.39,0.43,82.1,5.91,Safe
6.69,1.12,62.6,14.18,Unsafe
8.04,1.26,167.5,12.06,Caution
6.99,1.5,97.6,7.41,Safe
6.69,2.03,239.2,32.21,Caution
5.25,3.95,392.4,71.71,Unsafe
6.38,2.33,186.4,7.93,Caution
6.84,1.26,106.3,1.05,Safe
7.58,0.68,124.5,6.62,Safe
9.18,0.08,372.2,69.41,Unsafe
7.58,1.62,190.1,30.89,Caution
7.77,2.24,235.0,23.64,Caution
7.45,2.19,335.0,14.37,Unsafe
7.06,1.26,274.2,34.89,Caution
6.71,0.86,284.9,18.74,Caution
5.96,0.36,188.1,9.51,Caution
5.98,3.28,453.1,62.28,Unsafe
7.1,1.04,168.2,4.19,Caution
6.83,1.77,156.5,34.97,Caution
9.11,8.43,280.8,46.21,Unsafe
6.51,2.17,209.9,23.96,Caution
7.21,0.35,182.5,32.76,Caution
7.24,0.0,96.3,6.93,Safe
9.08,0.11,342.3,59.66,Unsafe
7.34,1.84,225.4,19.63,Caution
6.68,0.94,57.3,3.67,Safe
9.64,0.04,335.6,54.81,Unsafe
7.63,1.01,102.8,9.07,Safe
7.28,0.51,56.1,11.43,Caution
5.08,0.0,214.2,50.11,Unsafe
6.72,0.55,113.1,6.49,Safe
5.72,1.85,219.6,23.7,Unsafe
7.16,1.11,113.5,3.64,Safe
5.72,0.07,486.9,52.81,Unsafe
7.04,3.13,179.9,24.96,Caution
5.96,0.95,185.1,18.35,Unsafe
7.4,1.08,51.5,3.38,Safe
7.63,0.67,66.6,6.14,Safe
7.52,1.12,64.2,5.07,Safe
6.78,1.94,130.9,33.9,Safe
5.77,1.94,108.9,12.55,Caution
7.07,0.27,63.7,2.27,Safe
6.85,0.78,106.8,12.6,Caution
6.81,3.08,189.2,24.91,Caution
7.37,0.28,206.1,24.57,Caution
5.72,0.04,458.0,74.64,Unsafe
7.4,0.81,84.3,3.72,Safe
7.59,2.09,234.7,23.46,Caution
7.62,1.1,88.1,8.33,Safe
7.27,1.3,7.9,9.77,Safe
8.97,6.81,598.2,60.93,Unsafe
7.12,0.74,85.1,7.55,Safe
5.79,3.84,415.8,48.71,Unsafe
6.72,0.74,66.5,9.41,Safe
7.21,2.38,110.9,6.99,Caution
8.77,0.12,299.1,66.11,Unsafe
6.81,0.9,61.1,6.13,Safe
9.94,0.0,291.2,43.77,Unsafe
6.4,5.23,373.8,56.61,Unsafe
7.37,0.87,272.7,8.27,Caution
7.1,0.66,105.0,5.7,Safe
7.33,0.55,127.1,0.51,Safe
7.43,0.37,81.9,0.15,Safe
6.48,2.58,298.6,87.21,Unsafe
8.92,3.19,395.7,62.36,Unsafe
7.82,1.79,186.9,20.45,Caution
7.59,0.88,21.4,7.12,Safe
6.65,1.85,203.9,26.38,Caution
7.44,0.28,264.2,21.8,Caution
7.24,0.76,80.5,4.94,Safe
7.69,0.98,112.1,5.85,Safe
6.99,2.12,351.2,24.77,Unsafe
7.27,0.77,107.0,6.57,Safe
9.76,3.89,369.4,50.2,Unsafe
6.22,5.52,331.4,40.32,Unsafe
6.76,2.14,205.4,35.22,Caution
6.02,5.44,330.2,39.33,Unsafe
6.77,2.2,184.9,27.89,Caution
6.82,0.81,85.6,3.03,Safe
7.78,2.32,238.9,18.78,Caution
7.61,2.1,132.0,10.98,Caution
7.28,1.06,122.2,2.92,Safe
7.11,1.05,46.9,6.87,Safe
7.79,2.61,196.7,13.17,Unsafe
7.62,1.96,231.2,11.97,Caution
6.77,0.74,110.6,6.78,Safe
8.1,1.72,224.1,27.48,Unsafe
7.19,0.93,66.3,6.6,Safe
6.45,1.4,238.1,31.83,Caution
8.15,0.83,62.1,6.28,Safe
9.85,0.09,431.5,82.63,Unsafe
6.09,0.12,451.7,50.9,Unsafe
7.26,1.09,57.9,5.19,Safe
5.77,1.24,223.4,19.19,Unsafe
7.57,2.82,175.3,15.68,Caution
7.24,0.88,115.6,2.46,Safe
6.91,2.4,267.4,7.78,Caution
6.61,2.57,119.1,23.13,Caution
6.28,1.33,178.6,28.02,Caution
7.44,2.32,236.6,8.5,Caution
7.66,0.56,64.3,0.69,Safe
6.32,2.27,118.8,12.7,Caution
6.64,0.91,82.3,6.02,Safe
7.47,1.01,110.7,4.8,Safe
9.23,3.52,285.3,41.2,Unsafe
6.59,0.63,116.4,14.04,Safe
7.39,0.62,309.6,40.21,Caution
7.15,2.11,100.0,3.86,Caution
4.93,0.06,481.3,62.31,Unsafe
7.04,0.94,66.9,5.43,Safe
7.06,0.9,62.7,7.7,Safe
7.58,0.76,54.0,4.35,Safe
7.85,0.93,8.3,4.72,Safe
7.01,1.05,87.5,0.8,Safe
8.16,0.01,199.2,34.65,Caution
6.86,1.71,199.6,13.1,Caution
6.42,1.79,243.4,26.96,Caution
6.31,4.13,242.5,25.81,Unsafe
7.98,1.4,79.2,4.05,Safe
9.8,6.82,596.0,35.44,Unsafe
6.33,1.44,247.0,11.92,Caution
10.27,0.07,472.2,52.39,Unsafe
5.77,4.79,455.7,59.15,Unsafe
7.0,0.74,47.2,1.74,Safe
6.71,1.62,265.5,22.24,Caution
7.63,0.57,92.6,2.43,Safe
9.25,0.11,422.4,60.04,Unsafe
7.35,1.4,190.2,20.01,Caution
10.44,0.01,455.2,24.71,Unsafe
5.84,1.7,287.5,21.87,Unsafe
7.24,0.69,90.4,9.31,Safe
6.83,2.27,318.7,31.75,Unsafe
7.68,0.92,107.4,6.1,Safe
5.14,3.42,369.5,84.59,Unsafe
7.43,0.68,98.1,4.1,Safe
7.48,1.33,68.6,3.43,Safe
7.69,0.66,161.1,4.9,Caution
6.92,1.52,218.2,19.86,Caution
4.7,3.24,399.7,80.39,Unsafe
7.37,0.61,205.7,20.85,Caution
7.74,0.77,51.3,0.0,Safe
6.07,0.0,85.0,10.05,Caution
7.15,2.34,171.7,18.55,Caution
7.09,1.16,43.7,5.01,Safe
6.04,0.0,392.4,50.98,Unsafe
7.48,2.9,254.2,21.63,Caution
5.99,0.48,262.6,38.71,Unsafe
9.13,0.08,578.5,80.16,Unsafe
5.68,1.63,152.9,18.15,Unsafe
5.92,0.05,603.2,39.53,Unsafe
6.79,0.5,81.8,4.05,Safe
6.18,5.4,356.1,33.12,Unsafe
4.9,0.0,462.6,34.71,Unsafe
6.67,1.92,176.6,22.65,Caution
7.46,0.56,220.7,10.86,Caution
7.31,0.81,77.5,0.9,Safe
8.37,6.86,241.7,92.19,Unsafe
5.27,0.01,429.8,77.74,Unsafe
4.88,0.09,509.9,67.93,Unsafe
6.37,1.9,175.8,20.14,Caution
9.1,5.01,390.6,46.74,Unsafe
7.61,1.27,73.6,4.5,Safe
7.1,1.06,107.7,9.5,Safe
7.05,0.57,162.1,4.43,Caution
6.88,1.45,30.4,0.68,Safe
7.29,0.53,59.1,6.91,Safe
6.97,0.66,226.4,27.11,Caution
9.2,0.01,343.9,67.2,Unsafe
9.37,3.06,393.5,93.41,Unsafe
7.18,0.59,64.1,2.66,Safe
7.55,3.68,163.2,11.78,Caution
7.0,1.47,120.4,3.93,Safe
7.7,0.0,201.2,9.98,Caution
7.09,1.23,62.5,10.21,Caution
9.65,3.89,464.8,56.52,Unsafe
6.68,1.66,193.2,17.12,Caution
7.11,1.26,140.2,23.46,Safe
5.47,0.89,228.3,20.05,Unsafe
6.98,0.68,132.5,7.98,Safe
7.28,0.25,54.9,0.0,Safe
9.98,3.54,455.1,67.91,Unsafe
6.25,2.87,281.4,24.9,Caution
6.71,1.6,231.7,25.62,Caution
9.89,0.09,394.6,71.15,Unsafe
7.36,0.61,130.8,6.08,Safe
7.3,0.79,25.2,4.02,Safe
5.34,6.77,538.5,67.09,Unsafe
7.33,1.19,86.0,10.33,Caution
6.62,0.8,136.4,6.38,Safe
5.37,3.66,434.8,54.69,Unsafe
6.62,1.11,123.5,4.22,Safe
5.84,2.86,278.1,46.18,Unsafe
6.38,1.66,182.7,12.55,Caution
6.97,0.53,70.1,3.14,Safe
7.11,2.58,249.2,23.39,Caution
5.11,4.01,363.6,37.02,Unsafe
6.11,5.87,402.0,36.02,Unsafe
9.17,0.09,308.9,56.56,Unsafe
6.66,0.79,128.3,6.65,Safe
7.54,0.78,119.0,5.56,Safe
6.67,1.58,217.6,23.75,Caution
7.0,0.91,81.2,2.64,Safe
6.25,0.68,71.6,1.94,Caution
8.26,0.67,224.2,10.24,Caution
7.09,0.79,72.2,0.06,Safe
7.05,0.94,262.1,50.45,Caution
7.31,0.98,145.2,1.8,Safe
7.56,0.92,266.7,18.1,Caution
9.36,0.03,300.6,65.89,Unsafe
9.07,2.03,528.7,47.17,Unsafe
6.86,1.26,37.1,8.19,Safe
9.12,3.66,404.3,58.27,Unsafe
6.56,1.04,299.5,25.3,Caution
8.08,5.96,510.9,28.16,Unsafe
6.01,0.0,399.2,78.61,Unsafe
7.89,1.76,0.0,4.71,Safe
8.65,4.47,359.7,41.11,Unsafe
8.37,2.77,176.7,19.26,Caution
7.41,2.25,267.1,25.63,Caution
6.29,0.46,217.1,17.34,Caution
7.16,0.86,91.1,6.42,Safe
5.88,2.43,204.8,19.88,Unsafe
7.72,0.86,62.5,3.45,Safe
6.51,1.22,63.0,4.9,Safe
6.14,1.69,146.3,0.2,Safe
6.96,1.04,109.8,10.51,Caution
7.32,0.82,157.0,2.28,Caution
9.35,3.53,219.2,90.87,Unsafe
8.57,0.01,421.9,81.31,Unsafe
5.72,0.09,369.3,62.09,Unsafe
6.57,2.94,226.2,16.41,Caution
9.4,0.01,439.1,70.91,Unsafe
7.2,0.51,29.3,5.41,Safe
7.62,0.67,249.0,15.92,Caution
7.36,0.86,147.5,5.93,Safe
7.18,0.4,276.3,18.65,Caution
6.52,0.46,0.0,4.3,Safe
9.22,4.57,413.8,69.04,Unsafe
6.76,0.99,121.3,5.82,Safe
9.79,0.07,520.3,51.47,Unsafe
6.3,1.63,230.4,3.44,Caution
7.57,2.63,167.7,24.39,Caution
7.08,2.51,120.5,21.92,Caution
7.74,1.3,88.9,1.54,Safe
7.3,0.95,0.0,2.28,Safe
7.27,0.3,71.0,8.44,Safe
7.25,1.16,111.4,15.97,Safe
9.71,4.47,436.5,71.12,Unsafe
6.67,0.54,71.2,8.69,Safe
7.39,0.56,86.3,0.48,Safe
8.06,0.34,53.3,1.88,Unsafe
7.53,2.02,254.1,4.29,Caution
7.14,0.87,30.2,4.56,Safe
6.19,2.85,376.3,64.11,Unsafe
7.42,0.48,95.7,9.94,Safe
7.22,0.77,128.7,4.01,Safe
4.54,3.71,284.3,40.69,Unsafe
6.43,0.37,85.4,3.58,Caution
7.2,0.79,174.9,2.55,Safe
6.99,0.7,87.7,5.2,Safe
7.4,0.84,73.1,5.54,Safe
8.93,5.77,324.5,5.21,Unsafe
5.71,2.82,243.5,32.11,Unsafe
6.97,0.92,49.9,6.29,Safe
7.13,0.0,146.5,37.01,Caution
7.2,0.69,111.9,4.16,Safe
9.8,5.19,302.8,74.79,Unsafe
5.98,0.57,217.4,30.68,Unsafe
7.45,1.38,146.9,5.61,Safe
6.96,0.81,90.7,4.9,Safe
6.39,1.59,116.5,9.41,Safe
7.82,0.69,95.9,7.56,Unsafe
6.63,1.0,246.0,24.52,Caution
5.58,0.1,479.6,51.06,Unsafe
9.13,0.03,389.5,62.99,Unsafe
6.89,1.46,126.5,4.59,Safe
6.95,0.96,167.0,4.95,Caution
6.92,0.44,138.4,7.73,Safe
7.31,1.1,58.2,5.11,Safe
7.21,1.37,187.9,15.46,Caution
5.54,0.11,424.9,80.17,Unsafe
9.73,6.95,337.4,55.23,Unsafe
7.77,1.34,90.9,4.12,Safe
7.42,1.21,109.5,4.52,Safe
6.82,0.42,117.2,7.13,Safe
